32334 ,	,+CLB
   2 âhkwatihcikâtêw	âhkwatihcikâtêw+V+II+Ind+3Sg
   2 âhkwatihcikanihk	âhkwatihcikan+N+I+Loc
   2 âhkwacihcikanisa	âhkwacihcikanis+N+I+Pl
   2 âhkwaci-pimiy	âhkwaci-pimiy+N+I+Sg
   2 âhkohtêwisow	âhkohtêwisow+?
   2 âhki	âhki+Ipc
   2 âhkamêyimok	âhkamêyimow+V+AI+Imp+Imm+2Pl
   2 âhkam-âyamihâw	âhkam-âyamihâw+?
   2 âh-oyôsisimiw	RdplS+oyôsisimiw+V+AI+Ind+3Sg
   2 âcimêw	âcimêw+V+TA+Ind+3Sg+4Sg/PlO
   2 yôhtêpayiyiw	yôhtêpayiw+V+II+Ind+4Sg
   2 yôho	yôho+Ipc
   2 yîkicikâwiskwêw	yîkicikâwiskwêw+?
   2 yâyâhk	yâyâhk+Ipc
   2 yâyakonam	yâyakonam+V+TI+Ind+3Sg
   2 yâhkasin	yâhkasin+V+II+Ind+3Sg
   2 yipâcihêw	yipâcihêw+V+TA+Ind+3Sg+4Sg/PlO
   2 yet	yet+?
   2 yaw	yaw+Ipc
   2 yahôw	yahôw+?
   2 yah	yah+?
   2 wîwih	wîwih+?
   2 wîwahôw	wîwahôw+?
   2 wîtisâna	nîtisân+N+A+D+Px3Sg+Obv
   2 wîsâmêw	wîsâmêw+V+TA+Ind+3Sg+4Sg/PlO
   2 wîpita	mîpit+N+I+D+Px3Sg+Pl
   2 wîpisisiyiw	wîpisisiyiw+?
   2 wîpisisiyihk	wîpisisiyihk+?
   2 wîpisisiwâhk	wîpisisiwâhk+?
   2 wîpayiwinisa	wîpayiwinis+N+I+Pl
   2 wîmâskawêw	wîmâskawêw+V+TA+Ind+3Sg+4Sg/PlO
   2 wîkiyiwa	nîki+N+I+D+Px4Sg/Pl+Pl
   2 wîkiw	wîkiw+V+AI+Ind+3Sg
   2 wîkimêwak	wîkimêw+V+TA+Ind+3Pl+4Sg/PlO
   2 wîkim	wîkimêw+V+TA+Imp+Imm+2Sg+3SgO
   2 wîkihtoyiwa	wîkihtow+V+AI+Ind+4Sg/Pl
   2 wîkihtowin	wîkihtowin+N+I+Sg
   2 wîhêw	wîhêw+V+TA+Ind+3Sg+4Sg/PlO
   2 wîhtamâhk	wîhtamâhk+?
   2 wîhtamwak	wîhtam+V+TI+Ind+3Pl
   2 wîhtamawâwak	wîhtamawêw+V+TA+Ind+X+3PlO
   2 wîhkês	wîhkês+N+I+Sg
   2 wîhkâ	wîhkâ+?
   2 wîhkwêtâpânâsk	wîhkwêtâpânâsk+N+A+Sg
   2 wîhkwêhtakâhk	wîhkwêhtakâw+N+I+Loc
   2 wîhkwâhk	wîhkway+N+I+Loc
   2 wîhkway	wîhkway+N+I+Sg
   2 wîhkaskoyiniw	wîhkaskoyiniw+N+A+Sg
   2 wîhcêkaskosîwi-sâkahikanihk	wîhcêkaskosîwi-sâkahikanihk+Ipc
   2 wîcôhkamawik	wîcôhkamawêw+V+TA+Imp+Imm+2Pl+1SgO
   2 wîcihin	wîcihêw+V+TA+Imp+Imm+2Sg+1SgO
   2 wîci-pakêsa	wîci-pakêsa+?
   2 wîci-kîhkâwa	nîci-kîhkâw-+N+A+D+Px3Sg+Obv
   2 wîci-ayîsiyiniwa	wîci-ayîsiyiniwa+?
   2 wîci-ayisiyinîwâwa	nîci-ayisiyiniw+N+A+D+Px3Pl+Obv
   2 wî-âhkwaciwak	PV/wi+âhkwaciw+V+AI+Ind+3Pl
   2 wî-~	wî-~+?
   2 wî-wîhtamawêw	PV/wi+wîhtamawêw+V+TA+Ind+3Sg+4Sg/PlO
   2 wî-waskawîw	PV/wi+waskawîw+V+AI+Ind+3Sg
   2 wî-sipwêhtêyini	wî-sipwêhtêyini+?
   2 wî-piciw	PV/wi+piciw+V+AI+Ind+3Sg
   2 wî-nipâkwêsimowinihkêw	PV/wi+nipâkwêsimowinihkêw+V+AI+Ind+3Sg
   2 wî-nipahâhkatosôwak	wî-nipahâhkatosôwak+?
   2 wî-nipahikawiyini	wî-nipahikawiyini+?
   2 wî-nipahatâhtam	PV/wi+nipahatâhtam+V+AI+Ind+3Sg
   2 wî-nakîwak	PV/wi+nakîw+V+AI+Ind+3Pl
   2 wî-mîcisoyiwa	PV/wi+mîcisow+V+AI+Ind+4Sg/Pl
   2 wî-mêtawêw	PV/wi+mêtawêw+V+AI+Ind+3Sg
   2 wî-mâcîw	PV/wi+mâcîw+V+AI+Ind+3Sg
   2 wî-kakwê-wâpamêw	PV/wi+PV/kakwe+wâpamêw+V+TA+Ind+3Sg+4Sg/PlO
   2 wî-kakwê-mîhkawikiw	PV/wi+PV/kakwe+mîhkawikiw+V+AI+Ind+3Sg
   2 wî-ispayiw	PV/wi+ispayiw+V+AI+Ind+3Sg
   2 wî-atoskâtam	PV/wi+atoskâtam+V+TI+Ind+3Sg
   2 wî-atimikwak	PV/wi+atimêw+V+TA+Ind+4Sg/Pl+3PlO
   2 wî-atimik	PV/wi+atimêw+V+TA+Ind+4Sg/Pl+3SgO
   2 wêwêkistikwânêw	wêwêkistikwânêw+V+AI+Ind+3Sg
   2 wêwânêyihtahkwâwi	wêwânêyihtahkwâwi+?
   2 wêtihtahk	otihtam+IC+V+TI+Cnj+3Sg
   2 wêstakayiwa	wêstakayiwa+?
   2 wêpâpîhkêpayiw	wêpâpîhkêpayiw+V+AI+Ind+3Sg
   2 wêpinêwak	wêpinêw+V+TA+Ind+3Pl+4Sg/PlO
   2 wêpinamwak	wêpinam+V+TI+Ind+3Pl
   2 wêmistikôsîwiskwêw	wêmistikôsîwiskwêw+?
   2 wêmistikôsiwi-ayôwinisa	wêmistikôsiwi-ayôwinisa+?
   2 wêh-kotâwaskamikîyit	wêh-kotâwaskamikîyit+?
   2 wâyonîwak	wâyonîw+V+AI+Ind+3Pl
   2 wâyahcâhk	wâyahcâw+N+I+Loc
   2 wâwonî	wâwonîw+V+AI+Imp+Imm+2Sg
   2 wâwikaniyiw	mâwikan+N+I+D+Px4Sg/Pl+Sg
   2 wâwikaniwâhk	mâwikan+N+I+D+Px3Pl+Loc
   2 wâtihkêwak	wâtihkêw+V+AI+Ind+3Pl
   2 wâsênamâna	wâsênamân+N+I+Pl
   2 wâspison	wâspison+N+A+Sg
   2 wâskâ	wâskâ+Ipc
   2 wâskitôhk	mâskitoy+N+I+D+Px3Sg+Loc
   2 wâskikaniyihk	mâskikan+N+I+D+Px4Sg/Pl+Loc
   2 wâsaskocêpayîs	wâsaskocêpayîs+N+I+Sg
   2 wâsakâyâskonêw	wâsakâyâskonêw+V+TA+Ind+3Sg+4Sg/PlO
   2 wâsakâmêtisahok	wâsakâmêtisahwêw+V+TA+Ind+4Sg/Pl+3SgO
   2 wâsakâm-miskwamîhk	wâsakâm-miskwamîhk+?
   2 wâpowêyân	wâpowêyân+?
   2 wâpiw	wâpiw+V+AI+Ind+3Sg
   2 wâpiskâyiw	wâpiskâw+V+II+Ind+4Sg
   2 wâpiskisiw	wâpiskisiw+V+AI+Ind+3Sg
   2 wâpiski-wiyâsa	wâpiski-wiyâs+N+I+Pl
   2 wâpiski-mostoswa	wâpiski-mostoswa+?
   2 wâpikwaniya	wâpikwaniy+N+I+Pl
   2 wâpatoniska	wâpatonisk+N+A+Obv
   2 wâpatonisk	wâpatonisk+N+A+Sg
   2 wâpastim	wâpastim+N+A+Sg
   2 wâpascimosa	wâpastim+N+A+Der/Dim+wâpastim+N+A+Obv
   2 wâpani-pimohtêwak	PV/wapani+pimohtêw+V+AI+Ind+3Pl
   2 wâpamâyahkwâwi	wâpamêw+V+TA+Fut+Cond+12Pl+3PlO
   2 wâpamona	wâpamon+N+I+Pl
   2 wâpamon	wâpamon+N+I+Sg
   2 wâpamitwâwi	wâpamêw+V+TA+Fut+Cond+3Pl+1SgO
   2 wâpamiski	wâpamêw+V+TA+Fut+Cond+3Sg+2SgO
   2 wâpamihk	wâpamêw+V+TA+Imp+Imm+2Pl+3SgO
   2 wâpamatwâwi	wâpamêw+V+TA+Fut+Cond+2Sg+3PlO
   2 wâpamak	wâpamak+?
   2 wâpakwanîsa	wâpakwanîs+N+I+Pl
   2 wâpahtêhêw	wâpahtêhêw+?
   2 wâpahtamok	wâpahtam+V+TI+Imp+Imm+2Pl
   2 wâpahk[i	wâpahk[i+?
   2 wâpahk	wâpahk+?
   2 wânaskêwinihk	wânaskêwinihk+Ipc
   2 wâkayôsi-pimiy	wâkayôsi-pimiy+?
   2 wâhyawîs	wâhyawîs+Ipc
   2 wâh-tôtaman	wâh-tôtaman+?
   2 wâh-takosihki	PV/wah+takosin+V+AI+Fut+Cond+3Sg
   2 wâh-otinaman	wâh-otinaman+?
   2 wâh-minahoyâni	PV/wah+minahow+V+AI+Fut+Cond+1Sg
   2 wâh-kakwê-kêhcinâhoyan	wâh-kakwê-kêhcinâhoyan+?
   2 wâh-itohtêhki	PV/wah+itohtêw+V+AI+Fut+Cond+X
   2 wâcistakât	wâcistakât+Ipc
   2 wâcistakâ	wâcistakâ+Ipc
   2 wâcistak	wâcistak+Ipc
   2 wâ-~	wâ-~+?
   2 wâ-wâstahikâniwiw	PV/wa+wâstahikêw+V+AI+Ind+X
   2 wrong	wrong+?
   2 wound	wound+?
   2 wiyâyêpac	wiyâyêpac+Ipc
   2 wiyâsisa	wiyâsis+N+I+Pl
   2 wiyâpamâtwâwi	wiyâpamâtwâwi+?
   2 wiyâpahk	wâpan+IC+V+II+Cnj+3Sg
   2 wiyinôw	wiyinôw+?
   2 wiyawiyiw	miyaw+N+I+D+Px4Sg/Pl+Sg
   2 wiyaskinahêw	wiyaskinahêw+V+TA+Ind+3Sg+4Sg/PlO
   2 wiyanihêwak	wiyanihêw+V+TA+Ind+3Pl+4Sg/PlO
   2 wiyahpis	wiyahpitêw+V+TA+Imp+Imm+2Sg+3SgO
   2 wedding	wedding+?
   2 we'll	we'll+?
   2 wayawîwin	wayawîwin+N+I+Sg
   2 wayawîtân	wayawîw+V+AI+Imp+Imm+12Pl
   2 wayawîtisahikêmakan	wayawîtisahikêmakan+V+II+Ind+3Sg
   2 wayawîtim-âyihk	wayawîtim-âyihk+Ipc
   2 wayawîhtatâw	wayawîhtatâw+V+TI+Ind+3Sg
   2 wayawîhkan	wayawîw+V+AI+Imp+Del+2Sg
   2 wayawî-kwâskohtiw	PV/wayawi+kwâskohtiw+V+AI+Ind+3Sg
   2 wawêyîyiwa	wawêyîw+V+AI+Ind+4Sg/Pl
   2 wawêsîw	wawêsîw+V+AI+Ind+3Sg
   2 wawêsiyiwa	wawêsiyiwa+?
   2 watâhk	matay+N+I+D+Px3Sg+Loc
   2 watapiya	watapiy+N+A+Obv
   2 wataniy	wataniy+?
   2 watamiskay	watamiskay+?
   2 waskwaya	waskway+N+A+Obv
   2 waskway-ôsa	waskway-ôsi+N+I+Pl
   2 waskipicikana	waskipicikan+N+I+Pl
   2 waskawîw	waskawîw+V+AI+Ind+3Sg
   2 waskatay	maskatay+N+I+D+Px3Sg+Sg
   2 wanwêhkâtâni	wanwêhkawêw+V+TA+Fut+Cond+1Sg+2SgO
   2 wanimôc	wanimôc+?
   2 wanikiskisi	wanikiskisiw+V+AI+Imp+Imm+2Sg
   2 wanihâwak	wanihêw+V+TA+Ind+X+3PlO
   2 wanihâw	wanihêw+V+TA+Ind+X+3SgO
   2 wanihtâw	wanihtâw+V+TI+Ind+3Sg
   2 wall	wall+?
   2 wacaskwayânak	wacaskwayânak+?
   2 violin	violin+?
   2 vegetables	vegetables+?
   2 vamps	vamps+?
   2 us	us+?
   2 uniform	uniform+?
   2 uncle	uncle+?
   2 tôhtôsimiyiwa	tôhtôsimiyiwa+?
   2 têpêyimôw	têpêyimôw+?
   2 têpakohp-askiy	têpakohp-askiy+Ipc
   2 têp-~	têp-~+?
   2 têkohtêt	takohtêw+IC+V+AI+Cnj+3Sg
   2 têhtastâw	têhtastâw+V+TI+Ind+3Sg
   2 têhtapik	têhtapiw+V+AI+Imp+Imm+2Pl
   2 têhtahiski	têhtahêw+V+TA+Fut+Cond+3Sg+2SgO
   2 têhtahin	têhtahêw+V+TA+Imp+Imm+2Sg+1SgO
   2 tê-mîcisot	tê-mîcisot+?
   2 tâwâskikan	tâwâskikan+Ipc
   2 tâwikisin	tâwikisin+V+AI+Ind+3Sg
   2 tâskiwêpahwêw	tâskiwêpahwêw+V+TA+Ind+3Sg+4Sg/PlO
   2 tâsipwâw	tâsipwâw+Ipc
   2 tâpwêwin	tâpwêwin+N+I+Sg
   2 tâpwêwakêyihtamwak	tâpwêwakêyihtam+V+TI+Ind+3Pl
   2 tâpwêwakêyihtam	tâpwêwakêyihtam+V+TI+Ind+3Sg
   2 tâpwêhtamani	tâpwêhtam+V+TI+Fut+Cond+2Sg
   2 tâpwê-âcimowin	tâpwê-âcimowin+N+I+Sg
   2 tâpw	tâpw+?
   2 tâpiskwêkanêkin	tâpiskwêkanêkin+N+A+Sg
   2 tâpi-pimotam	PV/tapi+pimotam+V+TI+Ind+3Sg
   2 tâpakwâtêw	tâpakwâtêw+V+TA+Ind+3Sg+4Sg/PlO
   2 tânêkâ	tânêkâ+?
   2 tâniwâtokê	tâniwâtokê+Ipc
   2 tânitowahk	tânitowahk+Ipc
   2 tânitahto-kîsikâw	tânitahto-kîsikâw+?
   2 tânitahto-askiy	tânitahto-askiy+?
   2 tânitaht	tânitaht+?
   2 tâhcipôw	tâhcipôw+?
   2 tâh-têpwâtêw	RdplS+têpwâtêw+V+TA+Ind+3Sg+4Sg/PlO
   2 tâh-tahkamîhkan	RdplS+tahkamêw+V+TA+Imp+Del+2Sg+1SgO
   2 tâh-ayâw	PV/tah+ayâw+V+AI+Ind+3Sg
   2 twâhipêw	twâhipêw+V+AI+Ind+3Sg
   2 twenty-four	twenty-four+?
   2 twenty	twenty+?
   2 twelfth	twelfth+?
   2 try	try+?
   2 truck	truck+?
   2 trisyllabically	trisyllabically+?
   2 tour	tour+?
   2 today's	today's+?
   2 today	today+?
   2 tita-~	tita-~+?
   2 tita-ohtohtêw	PV/tita+ohtohtêw+V+AI+Ind+3Sg
   2 tita-ohpikiw	PV/tita+ohpikiw+V+AI+Ind+3Sg
   2 tita-itwêw	PV/tita+itwêw+V+AI+Ind+3Sg
   2 tita-ayâwak	PV/tita+ayâw+V+AI+Ind+3Pl
   2 tit-âyiman	tit-âyiman+?
   2 tit-âyamihâniwan	tit-âyamihâniwan+?
   2 tit-âsamikoyâhk	tit-âsamikoyâhk+?
   2 tipahaskân	tipahaskân+N+I+Sg
   2 timîw	timîw+V+II+Ind+3Sg
   2 tihtipistikwâna	tihtipistikwâna+?
   2 tihtipipayiw	tihtipipayiw+V+AI+Ind+3Sg
   2 through	through+?
   2 thirty-six	thirty-six+?
   2 thirty-first	thirty-first+?
   2 things	things+?
   2 they're	they're+?
   2 th	th+?
   2 test	test+?
   2 taxi	taxi+?
   2 tawaham	tawaham+V+TI+Ind+3Sg
   2 tasôhêw	tasôhêw+V+TA+Ind+3Sg+4Sg/PlO
   2 tastawayakap	tastawayakap+Ipc
   2 tapahtiskwêyiw	tapahtiskwêyiw+V+AI+Ind+3Sg
   2 tamarack	tamarack+?
   2 tam	tam+?
   2 talmwâs	?+InLoc+I
   2 takwâmoyani	takwâmow+V+AI+Fut+Cond+2Sg
   2 takwahinâwak	takwahinâwak+?
   2 takosiniyâni	takosin+V+AI+Fut+Cond+1Sg
   2 takosiniyini	takosiniyini+?
   2 takopiciwak	takopiciw+V+AI+Ind+3Pl
   2 takopayiwak	takopayiw+V+AI+Ind+3Pl
   2 takopahtâyiwa	takopahtâw+V+AI+Ind+4Sg/Pl
   2 takopahtâw	takopahtâw+V+AI+Ind+3Sg
   2 takon	takonêw+V+TA+Imp+Imm+2Sg+3SgO
   2 takohtêyêko	takohtêw+V+AI+Fut+Cond+2Pl
   2 takahkêyihtamwak	takahkêyihtam+V+TI+Ind+3Pl
   2 takahki	takahki+Ipc
   2 tahto-tipahipîsimwân	tahto-tipahipîsimwân+?
   2 tahto-nîpin	tahto-nîpin+Ipc
   2 tahto-mâtinawêwi-kîsikâw	tahto-mâtinawêwi-kîsikâw+?
   2 tahto-kîkway	tahto-kîkway+?
   2 tahto-aya	tahto-aya+Ipc
   2 tahkoskêwin	tahkoskêwin+N+I+Sg
   2 tahkopitêw	tahkopitêw+V+II+Ind+3Sg
   2 tahkopitamwak	tahkopitam+V+TI+Ind+3Pl
   2 tahkopitamiyiwa	tahkopitam+V+TI+Ind+4Sg/Pl
   2 tahkopisoyiwa	tahkopisow+V+AI+Ind+4Sg/Pl
   2 tahkoht	tahkoht+Ipc
   2 tahkisiw	tahkisiw+V+AI+Ind+3Sg
   2 tahki_ayiwâk	Iph
   2 tahkamêwak	tahkamêw+V+TA+Ind+3Pl+4Sg/PlO
   2 tablecloth	tablecloth+?
   2 ta-âpacihtâyit	PV/ta+âpacihtâw+V+TI+Cnj+4Sg/Pl
   2 ta-âcimôw	ta-âcimôw+?
   2 ta-âcimostawat	PV/ta+âcimostawêw+V+TA+Cnj+2Sg+3SgO
   2 ta-wîkimât	PV/ta+wîkimêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ta-wîkimitân	PV/ta+wîkimêw+V+TA+Cnj+1Sg+2SgO
   2 ta-wîkihtoyâhk	PV/ta+wîkihtow+V+AI+Cnj+1Pl
   2 ta-wîhtamawat	PV/ta+wîhtamawêw+V+TA+Cnj+2Sg+3SgO
   2 ta-wîcihiwêt	PV/ta+wîcihiwêw+V+AI+Cnj+3Sg
   2 ta-wîcihakik	PV/ta+wîcihêw+V+TA+Cnj+1Sg+3PlO
   2 ta-wî-ayâw	ta-wî-ayâw+?
   2 ta-wâpamâwak	PV/ta+wâpamêw+V+TA+Ind+X+3PlO
   2 ta-wâpamikoyâhkok	ta-wâpamikoyâhkok+?
   2 ta-wâpahtamwak	PV/ta+wâpahtam+V+TI+Ind+3Pl
   2 ta-wâpahtahk	PV/ta+wâpahtam+V+TI+Cnj+3Sg
   2 ta-wiyisahk	PV/ta+wiyisam+V+TI+Cnj+3Sg
   2 ta-tôtamân	PV/ta+tôtam+V+TI+Cnj+1Sg
   2 ta-tôtamâhk	PV/ta+tôtam+V+TI+Cnj+1Pl
   2 ta-tôtaman	PV/ta+tôtam+V+TI+Cnj+2Sg
   2 ta-tôtamahk	PV/ta+tôtam+V+TI+Cnj+12Pl
   2 ta-tôtahk	PV/ta+tôtam+V+TI+Cnj+3Sg
   2 ta-tâsaham	PV/ta+tâsaham+V+TI+Ind+3Sg
   2 ta-tipiskâw	PV/ta+tipiskâw+V+II+Ind+3Sg
   2 ta-takohtêt	PV/ta+takohtêw+V+AI+Cnj+3Sg
   2 ta-takohtêcik	PV/ta+takohtêw+V+AI+Cnj+3Pl
   2 ta-tako-tipahaman	PV/ta+tako-tipaham+V+TI+Cnj+2Sg
   2 ta-tahkiskawêw	PV/ta+tahkiskawêw+V+TA+Ind+3Sg+4Sg/PlO
   2 ta-sipwêhtêcik	PV/ta+sipwêhtêw+V+AI+Cnj+3Pl
   2 ta-pîkiskwêstamawiyit	ta-pîkiskwêstamawiyit+?
   2 ta-pîhtwâyêk	PV/ta+pîhtwâw+V+AI+Cnj+2Pl
   2 ta-pîhcâw	PV/ta+pîhcâw+V+II+Ind+3Sg
   2 ta-pê-âhkosit	PV/ta+PV/pe+âhkosiw+V+AI+Cnj+3Sg
   2 ta-pê-pîhtokwêt	PV/ta+PV/pe+pîhtokwêw+V+AI+Cnj+3Sg
   2 ta-pê-mîcisôw	ta-pê-mîcisôw+?
   2 ta-pê-kîwêyin	ta-pê-kîwêyin+?
   2 ta-pê-itohtêcik	PV/ta+pê-itohtêw+V+AI+Cnj+3Pl
   2 ta-pâstêk	PV/ta+pâstêw+V+II+Cnj+3Sg
   2 ta-pâhpihiht	PV/ta+pâhpihêw+V+TA+Cnj+X+3SgO
   2 ta-postiskamôhimiht	PV/ta+postiskamôhêw+V+TA+Cnj+X+4Sg/PlO
   2 ta-postiskahkik	PV/ta+postiskam+V+TI+Cnj+3Pl
   2 ta-pahkihtin	PV/ta+pahkihtin+V+II+Ind+3Sg
   2 ta-ohtêyimât	PV/ta+ohtêyimêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ta-nîpawiwak	PV/ta+nîpawiw+V+AI+Ind+3Pl
   2 ta-nîmihitohk	PV/ta+nîmihitow+V+AI+Cnj+X
   2 ta-nâtahkik	PV/ta+nâtam+V+TI+Cnj+3Pl
   2 ta-nâh-nawacîyêk	PV/ta+RdplS+nawacîw+V+AI+Cnj+2Pl
   2 ta-nâcipahâw	PV/ta+nâcipahâw+V+AI+Ind+3Sg
   2 ta-nitotamât	PV/ta+nitotamâw+V+TI+Cnj+3Sg
   2 ta-nitomêw	PV/ta+nitomêw+V+TA+Ind+3Sg+4Sg/PlO
   2 ta-nitomâyit	PV/ta+nitomêw+V+TA+Cnj+4Sg/Pl+5Sg/PlO
   2 ta-nitawi-âsowi-kiskinohamâht	ta-nitawi-âsowi-kiskinohamâht+?
   2 ta-nitawi-wîhtamawakik	PV/ta+PV/nitawi+wîhtamawêw+V+TA+Cnj+1Sg+3PlO
   2 ta-nipât	PV/ta+nipâw+V+AI+Cnj+3Sg
   2 ta-nipâkêcik	PV/ta+nipâkêw+V+AI+Cnj+3Pl
   2 ta-nipahâhkatosôw	ta-nipahâhkatosôw+?
   2 ta-nipahtâw	PV/ta+nipahtâw+V+TI+Ind+3Sg
   2 ta-nipahtât	PV/ta+nipahtâw+V+TI+Cnj+3Sg
   2 ta-nipahitân	PV/ta+nipahêw+V+TA+Cnj+1Sg+2SgO
   2 ta-nipahit	PV/ta+nipahêw+V+TA+Cnj+3Sg+1SgO
   2 ta-nipahikot	PV/ta+nipahêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ta-nipahikocik	PV/ta+nipahêw+V+TA+Cnj+4Sg/Pl+3PlO
   2 ta-nipahiht	PV/ta+nipahêw+V+TA+Cnj+X+3SgO
   2 ta-môwit	ta-môwit+?
   2 ta-mîciyêk	PV/ta+mîciw+V+TI+Cnj+2Pl
   2 ta-mîcisôwak	ta-mîcisôwak+?
   2 ta-mâcît	PV/ta+mâcîw+V+AI+Cnj+3Sg
   2 ta-mowak	PV/ta+mowêw+V+TA+Cnj+1Sg+3SgO
   2 ta-miywêyihtam	PV/ta+miywêyihtam+V+TI+Ind+3Sg
   2 ta-miywâsik	PV/ta+miywâsin+V+II+Cnj+3Sg
   2 ta-miyopayiw	PV/ta+miyopayiw+V+AI+Ind+3Sg
   2 ta-miyiht	ta-miyiht+?
   2 ta-mispon	PV/ta+mispon+V+II+Ind+3Sg
   2 ta-mani-sêkihât	PV/ta+PV/mani+sêkihêw+V+TA+Cnj+3Sg+4Sg/PlO
   2 ta-kîwêyâhk	PV/ta+kîwêw+V+AI+Cnj+1Pl
   2 ta-kîwêyin	ta-kîwêyin+?
   2 ta-kîwêtotahkik	PV/ta+kîwêtotam+V+TI+Cnj+3Pl
   2 ta-kî-~	ta-kî-~+?
   2 ta-kî-nipahtâw	PV/ta-ki+nipahtâw+V+TI+Ind+3Sg
   2 ta-kî-kîwêyahk	PV/ta-ki+kîwêw+V+AI+Cnj+12Pl
   2 ta-kî-kitât	PV/ta-ki+kitâw+V+TI+Cnj+3Sg
   2 ta-kî-ispayik	PV/ta-ki+ispayiw+V+II+Cnj+3Sg
   2 ta-kâhcitinêw	PV/ta+kâhcitinêw+V+TA+Ind+3Sg+4Sg/PlO
   2 ta-kitotâcik	PV/ta+kitotêw+V+TA+Cnj+3Pl+4Sg/PlO
   2 ta-kitotikot	PV/ta+kitotêw+V+TA+Cnj+4Sg/Pl+3SgO
   2 ta-kisîhtoyahk	PV/ta+kisîhtowak+V+AI+Cnj+12Pl
   2 ta-kiskêyihtamêk	PV/ta+kiskêyihtam+V+TI+Cnj+2Pl
   2 ta-kiskisomiht	PV/ta+kiskisomêw+V+TA+Cnj+X+3SgO
   2 ta-kiskinohamâht	ta-kiskinohamâht+?
   2 ta-kisiwâsit	PV/ta+kisiwâsiw+V+AI+Cnj+3Sg
   2 ta-kawisimocik	PV/ta+kawisimow+V+AI+Cnj+3Pl
   2 ta-kaskêyihtam	PV/ta+kaskêyihtam+V+TI+Ind+3Sg
   2 ta-kaskihtâyân	PV/ta+kaskihtâw+V+TI+Cnj+1Sg
   2 ta-kapêsiyahk	PV/ta+kapêsiw+V+AI+Cnj+12Pl
   2 ta-kakwê-nipahtâyan	PV/ta+PV/kakwe+nipahtâw+V+TI+Cnj+2Sg
   2 ta-itohtêw	PV/ta+itohtêw+V+AI+Ind+3Sg
   2 ta-isi-nipahiyêk	PV/ta+PV/isi+nipahêw+V+TA+Cnj+2Pl+1SgO
   2 ta-isi-nihtâwikwâsot	PV/ta+PV/isi+nihtâwikwâsow+V+AI+Cnj+3Sg
   2 ta-ayâsêkinam	PV/ta+ayâsêkinam+V+TI+Ind+3Sg
   2 ta-atoskêyan	PV/ta+atoskêw+V+AI+Cnj+2Sg
   2 ta-astâwak	PV/ta+astâw+V+TI+Ind+3Pl
   2 ta-anâskêwak	PV/ta+anâskêw+V+AI+Ind+3Pl
   2 ta-akwanahôw	ta-akwanahôw+?
   2 t-ôtinimat	t-ôtinimat+?
   2 t-ôtihtamân	t-ôtihtamân+?
   2 t-ôsîhtâyan	t-ôsîhtâyan+?
   2 t-êtêyimiht	t-êtêyimiht+?
   2 t-êtêyihtahk	t-êtêyihtahk+?
   2 t-êspayihikocik	t-êspayihikocik+?
   2 t-êsi-~	t-êsi-~+?
   2 t-ês-âyâcik	t-ês-âyâcik+?
   2 t-âtâwêhk	t-âtâwêhk+?
   2 t-âpacihtâyan	t-âpacihtâyan+?
   2 sôniyâwikimâw	sôniyâwikimâw+N+A+Sg
   2 sôniyâw-okimâw	sôniyâw-okimâw+N+A+Sg
   2 sôhkisiwin	sôhkisiwin+N+I+Sg
   2 sôhkisiw	sôhkisiw+V+AI+Ind+3Sg
   2 sôhkakihtêw	sôhkakihtêw+V+II+Ind+3Sg
   2 sîwîhtâkani-sâkahikanihk	sîwîhtâkani-sâkahikanihk+Ipc
   2 sîwinikana	sîwinikan+N+A+Obv
   2 sîsîpi-mîcimâpoy	sîsîpi-mîcimâpoy+N+I+Sg
   2 sîsîkwêw	sîsîkwêw+N+A+Sg
   2 sîsîkwan	sîsîkwan+N+A+Sg
   2 sîskêpisona	sîskêpison+N+I+Pl
   2 sîhkimik	sîhkimêw+V+TA+Ind+4Sg/Pl+3SgO
   2 sîhkihkêmôw	sîhkihkêmôw+?
   2 sêstakwa	sêstak+N+A+Obv
   2 sêpwêhtêtwâwi	sêpwêhtêtwâwi+?
   2 sêpwêhtêci	sêpwêhtêci+?
   2 sênapâna	sênapâna+?
   2 sêkw-âyihk	sêkw-âyihk+Ipc
   2 sêkimêw	sêkimêw+V+TA+Ind+3Sg+4Sg/PlO
   2 sâsâkihtiw	sâsâkihtiw+V+AI+Ind+3Sg
   2 sâponikan	sâponikan+N+I+Sg
   2 sâkôcimaci	sâkôcimêw+V+TA+Fut+Cond+2Sg+3SgO
   2 sâkôcihêw	sâkôcihêw+V+TA+Ind+3Sg+4Sg/PlO
   2 sâkâstênohk	sâkâstênohk+Ipc
   2 sâkohtâyani	sâkohtâw+V+TI+Fut+Cond+2Sg
   2 sâkihêw	sâkihêw+V+TA+Ind+3Sg+4Sg/PlO
   2 sâkihtâw	sâkihtâw+V+TI+Ind+3Sg
   2 sâkihik	sâkihêw+V+TA+Ind+4Sg/Pl+3SgO
   2 sâkaskinêyiwa	sâkaskinêw+V+AI+Ind+4Sg/Pl
   2 sâkahikanis	sâkahikanis+N+I+Sg
   2 syrup	syrup+?
   2 sure	sure+?
